added_lines,arm,attempts,changed_files,changed_paths,deleted_lines,dependencies_added_count,duration_ms,fail2pass_count,fail2pass_passed,fail2pass_total,failure_category,holdout_verifier_passed,model,model_answer_nonempty,pass2pass_count,pass2pass_passed,pass2pass_total,passed,patch_path,plan_index,provider,repetition,report_path,run_key,runtime_run_id,status,task_id,tool_steps,trace_path,usage,verifier_exit_code,verifier_stderr_path,verifier_stdout_path
,baseline,6,1,"[""app.py""]",,,34692.63,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r1\patch.diff,11,openai,1,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r1\workspace\.pico\runs\run_20260805-105828-6703be\report.json,stdlib-url-host__baseline__r1,run_20260805-105828-6703be,pass,stdlib-url-host,5,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r1\workspace\.pico\runs\run_20260805-105828-6703be\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 3997, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 68, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4065}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r1\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r1\verifier\holdout-0-stdout.txt
,baseline,6,1,"[""app.py""]",,,29216.88,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r1\patch.diff,12,openai,1,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r1\workspace\.pico\runs\run_20260805-105903-620087\report.json,single-file-sum-boundary__baseline__r1,run_20260805-105903-620087,pass,single-file-sum-boundary,5,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r1\workspace\.pico\runs\run_20260805-105903-620087\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4006, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 64, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4070}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r1\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r1\verifier\holdout-0-stdout.txt
,minimal_policy,5,1,"[""app.py""]",,,29460.43,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r2\patch.diff,13,openai,2,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r2\workspace\.pico\runs\run_20260805-105932-4f7b1f\report.json,stdlib-url-host__minimal_policy__r2,run_20260805-105932-4f7b1f,pass,stdlib-url-host,5,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r2\workspace\.pico\runs\run_20260805-105932-4f7b1f\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4087, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 67, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4154}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r2\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r2\verifier\holdout-0-stdout.txt
,baseline,10,1,"[""app.py""]",,,78149.63,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__baseline__r3\patch.diff,14,openai,3,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__baseline__r3\workspace\.pico\runs\run_20260805-110002-b17166\report.json,path-traversal-boundary__baseline__r3,run_20260805-110002-b17166,pass,path-traversal-boundary,12,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__baseline__r3\workspace\.pico\runs\run_20260805-110002-b17166\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 5676, ""native_tool_call_count"": 1, ""native_tools_enabled"": true, ""output_tokens"": 73, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""native"", ""total_tokens"": 5749}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__baseline__r3\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__baseline__r3\verifier\holdout-0-stdout.txt
,baseline,8,1,"[""app.py""]",,,60951.5,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r2\patch.diff,15,openai,2,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r2\workspace\.pico\runs\run_20260805-110120-25855f\report.json,stdlib-url-host__baseline__r2,run_20260805-110120-25855f,pass,stdlib-url-host,8,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r2\workspace\.pico\runs\run_20260805-110120-25855f\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 5000, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 94, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 5094}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r2\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__baseline__r2\verifier\holdout-0-stdout.txt
,short_yagni,6,1,"[""app.py""]",,,36835.76,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__short_yagni__r1\patch.diff,16,openai,1,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__short_yagni__r1\workspace\.pico\runs\run_20260805-110221-c5a040\report.json,json-object-contract__short_yagni__r1,run_20260805-110221-c5a040,pass,json-object-contract,5,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__short_yagni__r1\workspace\.pico\runs\run_20260805-110221-c5a040\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4072, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 79, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4151}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__short_yagni__r1\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__short_yagni__r1\verifier\holdout-0-stdout.txt
,short_yagni,7,1,"[""app.py""]",,,32600.17,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r1\patch.diff,17,openai,1,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r1\workspace\.pico\runs\run_20260805-110258-b4fe5f\report.json,stdlib-url-host__short_yagni__r1,run_20260805-110258-b4fe5f,pass,stdlib-url-host,6,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r1\workspace\.pico\runs\run_20260805-110258-b4fe5f\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4279, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 81, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4360}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r1\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r1\verifier\holdout-0-stdout.txt
,minimal_policy,7,1,"[""config.py""]",,,32201.24,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__minimal_policy__r3\patch.diff,18,openai,3,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__minimal_policy__r3\workspace\.pico\runs\run_20260805-110330-c168f4\report.json,config-timeout-migration__minimal_policy__r3,run_20260805-110330-c168f4,pass,config-timeout-migration,6,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__minimal_policy__r3\workspace\.pico\runs\run_20260805-110330-c168f4\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4217, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 92, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4309}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__minimal_policy__r3\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__minimal_policy__r3\verifier\holdout-0-stdout.txt
,minimal_policy,5,1,"[""app.py""]",,,22899.26,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\csv-formula-boundary__minimal_policy__r2\patch.diff,19,openai,2,artifacts\minimal-change\resume-experiment-r15-54\runs\csv-formula-boundary__minimal_policy__r2\workspace\.pico\runs\run_20260805-110403-65d4c4\report.json,csv-formula-boundary__minimal_policy__r2,run_20260805-110403-65d4c4,pass,csv-formula-boundary,5,artifacts\minimal-change\resume-experiment-r15-54\runs\csv-formula-boundary__minimal_policy__r2\workspace\.pico\runs\run_20260805-110403-65d4c4\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4021, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 124, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4145}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\csv-formula-boundary__minimal_policy__r2\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\csv-formula-boundary__minimal_policy__r2\verifier\holdout-0-stdout.txt
,short_yagni,5,1,"[""config.py""]",,,34789.63,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r3\patch.diff,20,openai,3,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r3\workspace\.pico\runs\run_20260805-110425-191c58\report.json,config-timeout-migration__short_yagni__r3,run_20260805-110425-191c58,pass,config-timeout-migration,5,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r3\workspace\.pico\runs\run_20260805-110425-191c58\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4036, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 120, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4156}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r3\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r3\verifier\holdout-0-stdout.txt
